	TCGA_EW_A1P4	TCGA_E2_A14X	TCGA_AO_A128	TCGA_A7_A26F	TCGA_EW_A6SB	TCGA_C8_A12V	TCGA_AR_A2LH	TCGA_A2_A3XY	TCGA_GM_A2DB	TCGA_BH_A0BL	TCGA_HN_A2NL	TCGA_BH_A0BW	TCGA_E2_A14R	TCGA_A2_A1G6	TCGA_E2_A1LI	TCGA_AR_A256	TCGA_D8_A27H	TCGA_A2_A0D2	TCGA_C8_A26X	TCGA_BH_A0E6	TCGA_LL_A441	TCGA_C8_A1HJ	TCGA_BH_A1EW	TCGA_A7_A26I	TCGA_AC_A2QH	TCGA_A7_A0CE	TCGA_D8_A1JL	TCGA_AO_A124	TCGA_AO_A0J2	TCGA_LL_A740	TCGA_GM_A2DH	TCGA_AR_A0TU	TCGA_BH_A0B3	TCGA_E2_A1LG	TCGA_E2_A14N	TCGA_A7_A6VV	TCGA_A2_A0YE	TCGA_A7_A4SE	TCGA_AO_A0J6	TCGA_EW_A3U0	TCGA_AR_A1AQ	TCGA_BH_A0WA	TCGA_AN_A0XU	TCGA_AR_A1AI	TCGA_A8_A07C	TCGA_E2_A1AZ	TCGA_AR_A1AY	TCGA_E2_A158	TCGA_C8_A27B	TCGA_A2_A3XT	TCGA_AC_A6IW	TCGA_A2_A0YM	TCGA_AR_A0U4	TCGA_AR_A5QQ	TCGA_A8_A07O	TCGA_E2_A150	TCGA_GM_A3XL	TCGA_A1_A0SK	TCGA_A7_A4SD	TCGA_S3_AA10	TCGA_D8_A27F	TCGA_OL_A66I	TCGA_E2_A1L7	TCGA_OL_A5D6	TCGA_E9_A5FL	TCGA_OL_A66P	TCGA_A2_A0T2	TCGA_AO_A0J4	TCGA_OL_A5D7	TCGA_A1_A0SO	TCGA_EW_A1OV	TCGA_C8_A131	TCGA_GM_A2DD	TCGA_BH_A0B9	TCGA_A7_A5ZV	TCGA_E2_A1LL	TCGA_E2_A1LK	TCGA_B6_A400	TCGA_D8_A27M	TCGA_D8_A1JF	TCGA_E2_A159	TCGA_A1_A0SP	TCGA_A7_A26G	TCGA_AR_A0TS	TCGA_AN_A0G0	TCGA_BH_A0E0	TCGA_AQ_A04J	TCGA_B6_A409	TCGA_EW_A1OW	TCGA_AN_A04D	TCGA_GI_A2C9	TCGA_D8_A1XK	TCGA_S3_AA15	TCGA_AO_A1KR	TCGA_OL_A6VO	TCGA_GM_A2DF	TCGA_A2_A0ST	TCGA_EW_A1P7	TCGA_AN_A0AR	TCGA_BH_A42U	TCGA_BH_A18G	TCGA_A2_A3XX	TCGA_D8_A13Z	TCGA_E2_A573	TCGA_A2_A0CM	TCGA_B6_A3ZX	TCGA_AR_A2LR	TCGA_LL_A5YO	TCGA_B6_A402	TCGA_LL_A73Y	TCGA_E2_A574	TCGA_AN_A0AL	TCGA_AO_A129	TCGA_A8_A09X	TCGA_A2_A0D0	TCGA_C8_A26Y	TCGA_BH_A0BG	TCGA_A2_A04Q	TCGA_E2_A1LH	TCGA_EW_A1PH	TCGA_C8_A134	TCGA_D8_A147	TCGA_A2_A0T0	TCGA_C8_A3M7	TCGA_AC_A2BK	TCGA_GM_A2DI	TCGA_D8_A143	TCGA_A7_A6VW	TCGA_OL_A5RW	TCGA_BH_A1F6	TCGA_AC_A7VC	TCGA_A2_A3XS	TCGA_D8_A142	TCGA_BH_A0RX	TCGA_A2_A04T	TCGA_BH_A1FC	TCGA_EW_A1PB	TCGA_AN_A0AT	TCGA_E2_A1B6	TCGA_AC_A2QJ	TCGA_OL_A97C	TCGA_E2_A1LS	TCGA_A7_A0DA	TCGA_A7_A6VY	TCGA_EW_A1P8	TCGA_BH_A18V	TCGA_AO_A12F	TCGA_BH_A0AV	TCGA_EW_A1P1	TCGA_AQ_A54N	TCGA_D8_A1JG	TCGA_AR_A1AR	TCGA_AO_A03U	TCGA_A2_A3XU	TCGA_D8_A1XQ	TCGA_A8_A08R	TCGA_A2_A0SX	TCGA_A2_A04P
C0	175.1337168519707	173.38866562776556	126.60324222377504	170.51874718237443	129.15952715115603	133.30066729715608	69.00881912292213	120.65395865045156	72.16859053576911	167.7592272810731	200.0799950676753	196.81559680658196	169.72824317993621	120.08926560471588	210.47626283326454	234.16785524966699	183.98854935080735	184.69044978836553	62.50200537953525	118.60339201212383	118.17905387735104	238.36181929523838	140.2224144323541	210.4595672468437	175.1705078686137	193.77563033478762	188.78852119893017	226.77511546190163	105.95261868553847	65.45232912907302	161.42737111754514	208.70559485200295	155.3880938864514	194.80920396576778	217.4529048867376	146.07775107197858	194.8875100137068	162.83102672866386	171.1365942303387	133.42216666619038	162.42708224633583	219.24842295713395	215.2074854579317	209.2266885449766	256.75806451836064	204.02389241579593	236.65309047215342	230.65764178760463	220.66423299715402	139.45378216460222	136.17817816940334	219.49656428380487	176.693142410513	87.92697092813553	209.87592397767781	175.64362571138253	136.96338823906868	255.82268484002694	149.93806074393086	166.80690091763952	220.53793036650774	123.57666206668577	141.28979808424506	41.69529774084706	70.06309882012503	0.0	122.97286111605543	193.33416188887617	129.32893117827	255.74445625290602	91.41030754083381	99.27822724537879	30.27665966707975	178.45260546189394	146.68008137396998	154.5170935178909	174.58704313044979	159.43071869029234	170.2085249099215	133.6511966776314	146.61304083101544	193.27647161876806	173.4769565638975	179.61141667162596	210.5433297612051	145.05180398833065	166.59991064619035	112.83742512271512	212.42445923263023	209.7870926452996	189.88981407425618	225.85766947854705	89.96159044270692	126.27958932619163	190.80960484740734	115.17094450153407	117.51423367649468	105.84790427192014	181.64803590945297	12.339365534288644	134.03507322916326	147.86091258579336	152.86167549139734	146.9042699722204	177.01992300819768	128.46610639709965	215.6085316630027	44.47303524419854	188.35962403652292	158.06682088528765	150.86580970732058	131.8082097724379	146.1492523149431	92.80484324927882	172.91389736242186	127.93938512257996	176.86482760605864	112.06878818397946	95.96635248467678	207.68843596113328	187.959466674307	238.1215091605104	170.46921951835876	92.39555303716129	255.8260530338583	82.54312316650181	180.59112235629755	109.31511646375617	112.98265353369031	166.68233636830678	98.61334761395827	136.3183872217448	153.30864144381005	112.2911137093097	212.6123692998892	202.04138981432462	109.58629472390479	222.29834971916196	105.84410221666222	0.0	98.44262985996359	193.1612162473521	182.90958801963333	134.66419962447512	169.3136759847407	198.41863998132217	184.7247090956121	202.04422126941014	93.89456845633447	129.94816767001632	130.3431993326229	198.51774275157527	109.28028282429739	132.92136380731924	163.70525790829734	197.24898594676318	167.18069659432442	112.51455610281016
C1	96.36116015864889	105.07002964312703	159.89443424445113	182.4253781320435	50.27484955604644	159.70913682349166	251.89926760680595	139.2007109342397	163.16489907816742	163.86237580099373	23.162384299336473	120.50850969793642	33.4739892706288	248.09978969061783	27.773236035821544	41.453014837411565	116.03890060428724	69.11947498413633	247.47329198973654	75.40003248319857	172.41453532941105	23.143299855707085	217.87591698116483	97.59513311881142	114.69678525147638	72.38623175454549	128.75335421280576	19.110780503660752	150.99058992005303	245.6685792696882	154.82664895745745	0.0	97.14435115472232	61.264513085388835	23.911769243435106	121.71367520722218	68.5823443176065	106.83137700897265	52.63226731785286	155.83302895228226	83.87852117332703	59.999336831143594	58.927443003873805	62.96701742600661	49.24242759432705	119.77542353995358	37.2635041081921	1.1844465825307429	56.21633186262081	83.43776505753534	65.87545679040393	40.93215571205595	113.60646850347563	148.97999094729153	34.187109037256576	114.04522599186062	42.112931548355384	6.263340412186685	104.39836040903769	70.18899944532458	63.094143707039244	113.31489538803471	171.17954051485367	261.7863837064671	130.48591817883354	239.62569425584508	89.30864224019915	88.74223571041992	28.24991307570651	7.479868661568796	218.50932832300674	159.97434365188298	258.43668419468435	48.930989722370015	60.111246561721245	110.56400187207926	0.0	64.61068499435528	164.9378212570786	232.503141672828	152.54291203897085	68.26783799080724	186.37502515791337	137.12822274670515	79.9958847854488	72.07089862296239	150.19512721664276	66.31925464371538	62.764346669077376	0.0	83.80739027968409	34.07260789399975	196.20066566599908	36.028873657611435	16.23815270869954	102.09000352396214	185.43394072377575	224.86424295672285	28.562522182500643	252.66668716377083	92.78540459152869	56.68416703064221	166.1046602121724	67.93996141039233	79.31225165827773	144.3252434709467	91.88631438453619	206.72266128103934	0.9724558552130613	147.97757354218524	0.0	154.51548736394028	77.42958831327846	222.48733904192127	17.685476070252598	144.52762592115087	99.60293185341507	169.17726423376163	114.9964442247574	40.006713198613575	65.61646894619017	48.67274825099201	63.279688927563164	257.8709469869526	10.68134591763043	291.5022171712995	91.28746157206868	63.4675158165531	37.88819116395267	83.67597098829118	138.70335058796502	77.46233102150659	146.35756444835377	147.3169289441432	36.28759956977591	36.46157553210838	102.69968903084983	17.391341800830215	112.5335916513223	165.83416955196844	218.25026879092414	80.97965618594345	79.4802458205637	92.88093110580058	78.28495852994509	80.32479942881652	76.53941236380196	111.15948328245952	277.24704417088515	0.0	218.5435002610361	136.80491714154024	233.2794125006499	11.440018616431585	106.5873558859609	84.97093979468102	140.46399869175826	115.15798156257844
C2	84.98575618296898	78.10935415271035	91.4064418422987	8.520582623103616	192.2725973359414	85.96121043411722	93.28508886652787	127.1759319774816	166.9161130035437	34.90863251517153	110.21217380982856	27.760261967086937	149.96587975576787	9.764714008549465	99.69404818812187	50.09320538243524	48.43389314006976	98.00289112905669	102.2024275809343	185.83009622636786	95.5200477920631	60.28622254041858	14.045342139656908	28.98704278809542	46.25609934704428	79.37374642653734	36.06460268019882	81.02529580623309	131.3646697081382	94.66940078638547	47.690160962104756	123.25888398922474	117.84863828478943	78.19280795171957	89.86021900178586	104.42365466925064	77.26602733050422	91.90247066747328	131.82817038527554	90.21232626141416	117.09682593001968	54.808646877644975	62.21728343443908	65.18812075901091	2.151446797900742	17.59908719143634	49.335447329244154	79.95549924150812	56.07539972894897	149.35433903593352	172.31209781813322	75.73397637222143	65.02327936659395	163.10194346979205	92.53404363820343	63.15534016118548	191.8038490413225	38.68625964940707	114.87719718099277	125.5968692838991	50.05558173964529	146.76356421559868	58.78487595502594	113.63725830453559	199.5649740913851	198.43888717485058	163.23037117479885	69.05599224760533	212.56268042084392	37.31600642433004	85.47373235433692	132.64326827940138	139.31880436798087	126.48431157244107	147.4686895118849	93.75790887165823	167.19410207247128	141.83143390196247	28.25215251688571	2.0456118004094415	74.79940308845303	88.14202776936321	0.0	40.66571998736194	42.694785485889014	139.50746194387688	50.864746371681925	203.4877794251646	62.91608687101488	115.21640841604642	76.3833003624692	67.82519185751246	115.58997860718922	204.6321289031988	136.36022529439694	169.58359493218958	86.63008989675696	62.63382813174868	133.09836334238182	168.45003260338768	137.29846322141944	163.99234008343518	50.999294028870416	157.61193923265046	99.40172023729885	106.14212137505484	25.171215041716458	171.7797418616953	151.37925414668527	55.623999800436636	201.6188903818193	93.57634245991063	149.9984677956591	77.71780134332555	159.6841286201426	103.26553640901035	79.36557985250418	109.74604503075052	183.22391251208018	91.57263588391264	96.76072186794043	36.85591018781126	121.2237719110321	43.19224170818514	33.14118131445914	27.752963319205765	78.00177527305989	214.55969484229482	228.2505883087975	110.36144604114814	139.6584679704689	160.30808083190732	67.95652147445792	133.6148164616527	86.71340076273346	100.47217674320213	171.96479183070747	90.40523982276382	172.21307352308577	259.18567505849506	69.09391440530105	57.630465533468914	86.49882390011004	151.69183419991484	112.84075838671926	67.63629159469815	85.18710966541161	29.088038898324992	28.749976132228607	224.53939249124514	28.83084282696975	9.97974044047408	43.38032457985516	216.9619525920688	89.39238020730724	65.35397058173156	57.98363778483243	157.46095615934107
