Name	C0	C1	C2
CFD	5.893488626389362	17.222297690070725	16.373894780391915
TCF19	29.99379298271957	11.422873037907053	15.79465189792798
UGT3A1	0.28598352199233273	1.6015563987243593	0.6397851396193281
CP	26.588212196635396	19.81776054922027	11.238266200984308
TIMP3	32.081297780957	24.73435077784634	18.6881636592977
SLC44A1	32.81940199172606	21.20184451706725	16.6084462855437
METTL1	17.78368523931093	10.182296183350054	19.731578707459793
PBX3	20.164972929710718	15.91021489210142	8.94294798125626
C16orf89	6.04749485872421	11.075543544881892	7.064618743121755
ENPP5	20.919808772085908	11.729859754119353	9.060359159650675
IQCD	9.481711311522671	5.641200357199502	6.943983982755711
SIGMAR1	28.209192956054	15.756829227882369	24.398048325107897
RBM19	21.256932513165104	14.245931261037034	17.708491447929664
LEPR	15.053757007807654	15.28662466930844	3.406574501111616
ODAM	9.128075541346561	2.224688347420063	2.0375141623463553
RENBP	11.490118613589505	9.337570580669437	18.37162840365457
SLIT2	14.982976689634716	16.78347516590184	0.0
RPS6KA3	29.746622599552616	19.798524770467814	9.4183372193476
GTF2A2	23.13877565730262	13.625033875073534	20.097817521406053
TAF9	24.53881775831998	17.240062745756962	19.40032613203772
S100A14	25.266892825351746	14.715270561595233	26.027854183181482
NLGN4X	12.912440045174607	11.258074131123001	3.4676234972722475
ASS1	28.864422452477186	18.588991966271678	24.934987621189634
MND1	15.805616753190117	3.3049130984515553	12.615458233902043
EFEMP1	25.446823734903266	23.26922005892611	11.893879383791013
SNHG12	16.669650928939863	6.50209184408791	20.13878167617126
PIF1	13.288798023126677	2.8352460436363693	15.77682241882459
SPATA6	14.0663016748731	8.70413285725577	3.251238763215012
RBX1	24.141694183347827	15.657304324929498	23.984985487340325
PANK1	19.109345991318964	6.812956420540535	7.558657440719471
PSMB8	25.196769797833106	19.605553545672375	24.882360252387443
H19	23.019675719630037	22.520046655290066	21.06018666630666
STIL	30.036579195311173	7.580216494207893	10.421104187448343
CLCN5	22.44662855599955	10.185340789310013	10.046704195804537
CA2	19.561158393798745	12.8103021674961	12.682538045917118
VGLL1	23.6583422579003	0.8821502906104273	20.411018824951398
RHBDL2	15.358560538377382	7.837783117821764	12.57588195359297
POLD3	27.437438518593034	11.85592766159211	11.898259051996744
C13orf26	1.5594017456740115	0.47975556844054584	0.0
IRGQ	24.833857512507905	16.15379096730404	15.60710071490649
CD99	27.123734751719397	21.913094158917314	22.93416621152874
ZCCHC24	15.934660048941048	24.092152020619654	8.860468451299795
JAZF1	17.670991585810594	14.514403318774283	11.250988940524586
STRADA	20.1142352632284	14.34279018571241	16.222048308420238
SEMA5B	12.265101643104313	7.13572998915325	9.177928136050417
LAPTM5	30.52083422832798	23.436843916775192	22.017962018958286
GREM1	23.057932845167045	23.100382783230827	4.568171405977885
CD3D	9.007755793707085	14.643891761679404	13.289379461703499
PCSK5	11.309668696342982	12.225315937463275	3.4530880886422404
RAB28	18.304947273718945	11.11770327261416	10.370695428046231
MANEAL	20.34785891628226	11.001991192922501	15.25826305648207
HAUS4	21.79724092553124	16.03055983617265	19.207761059652174
CCL21	6.970308319791662	20.078819360599383	8.930569954738719
SPI1	14.848438180718171	18.209828669211046	20.82931056293484
TBC1D22A	16.904747411836116	12.94850639010125	17.131498544750627
PTPN13	25.544490655833464	16.879518060631373	4.5901598044567296
WDR49	2.8510619499911183	2.291660768946566	1.1572500677371003
FAM101B	21.98625414085936	15.432792553011256	11.173292795793186
SCIN	11.882751821909032	10.762737522540348	6.877102997691874
CLDN10	12.0468360739393	4.738607343688687	0.0
MYBL2	30.56224201559165	12.841168508235631	24.336144046707584
MXD1	23.2078813704245	13.543974953893377	11.934001778306254
PON2	26.796710761077172	19.749064837612146	18.608037137150458
C19orf48	26.099460282273647	12.547767856128369	26.6351135030512
POLR3K	18.552086325401476	9.641982782919767	19.87273834502561
ARMCX2	26.6143095658728	12.002049095774126	13.618846693777337
HVCN1	11.631376608395325	13.017879454266167	11.324698068936037
SLC13A4	6.524939980311698	3.415733768626551	4.749389211222563
MSR1	23.10725523180987	19.78057199793294	11.19780115807734
TSC22D3	22.662401801673465	26.465155318208765	17.86750849167467
ZNF496	24.14150166729374	8.414143593547077	10.507192449431471
ATF1	21.915880268463763	13.338456215814208	8.982066218771509
CSGALNACT1	17.67715012243226	18.098469448785416	8.131174160412087
GAS2L1	18.024215509027464	16.390449286392872	23.439507019589723
VPS13D	29.892528472413126	22.79006864470197	12.079618890205209
AIM2	9.241664863028722	9.012688327743067	10.897317171658672
PTPN18	27.530793591451562	17.90041242954525	22.112619544109236
PSENEN	25.033998203980993	16.574137722642337	24.388367576069868
C16orf59	13.594200625352588	4.826642708986677	18.46526566915225
HIST1H2AD	4.578261772964232	2.4954646799948135	5.193526334724458
CAPRIN1	34.1678703758802	21.518570292309494	21.49609652165967
EPHB4	31.15923423538921	20.638706824700584	21.40886341318239
MS4A7	15.508731988391288	21.005872627498825	9.829984307683121
FZD3	16.815462209642103	8.9660762439497	8.755356522773008
DUSP2	13.416002731711218	11.57355813613996	19.890949910189352
TNFAIP3	25.361852169768426	20.727343055487342	14.263901817381212
CDKN2C	23.021999349674292	10.419688606127927	16.476653084142303
DHRS9	5.59585954926068	11.281471377282742	5.78359849409335
TOMM40	27.277674227594822	14.001035641898728	26.89330456560868
PUF60	31.407772269729588	19.715975214525127	24.660251597912357
C1orf114	8.457118872932083	3.0217809423310276	1.3175810837106094
SIDT2	22.699829650325274	21.463892015942957	14.850566071904021
FCN2	0.0	9.30787669767083	0.190334766316723
